"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"0",0.00579131672607275,0.00599511981585168,3.18042379799952e-05,0.00241644849432763,0.729084585804233,0.256680724921535
"1",0.0847445175923956,0.072589567808571,0.00426538293003801,0.0281283518566028,0.364837959746839,0.445434220065554
"2",0.0222280419351982,0.0482417875613996,0.00301905181136015,0.0577407721353639,0.170987698171087,0.697782648385591
"3",0.0958073182153833,0.125553169123239,0.00163465479847776,0.145469263958185,0.0921699032167502,0.539365690687965
"7",0.041933755824671,0.493532007491323,0.024757297748434,0.0968570646319966,0.266354818435049,0.0765650558685264
"8",0.0898168391016045,0.322292182764729,0.0125725026127443,0.080019540491712,0.24079341112184,0.254505523907371
"9",0.0588366329819025,0.427155757241866,0.0465395383677506,0.0844362524844303,0.196074521453036,0.186957297471014
"10",0.10288492033601,0.500642499326189,0.0230414674520262,0.0889800470083622,0.124906336410709,0.159544729466704
"14",0.0608884895917323,0.581017162724834,0.0150906105507342,0.114516815485712,0.107656643599113,0.120830278047875
"15",0.0459310419578149,0.553710680380723,0.015951870139062,0.083336484704752,0.163899039553153,0.137170883264495
"16",0.0361218770235401,0.587228649954409,0.0199586258977129,0.102258858450538,0.133662575114629,0.120769413559172
"17",0.0586442495377099,0.542834973303259,0.0179233420724804,0.0792505335944218,0.159741587129474,0.141605314362656
"21",0.0266055085419767,0.582303474172163,0.0221018624719676,0.0972615388910085,0.1278356265616,0.143891989361284
"22",0.0368808659183395,0.648606046197896,0.017111672415413,0.0807747442341098,0.128170829509043,0.0884558417251989
"23",0.0575074171541958,0.599877435651359,0.0148259731453983,0.113284900930483,0.105285173365107,0.109219099753457
"24",0.0310723345737416,0.699088525555925,0.018501495230682,0.0545124992473131,0.119774247791009,0.0770508976013289
"28",0.0331355595229627,0.521531525529484,0.0203362587805246,0.0787136316670206,0.0840728187327191,0.262210205767289
"29",0.0414928072169229,0.568714032995986,0.0188494534139231,0.0856169426805834,0.139502502866711,0.145824260825874
"30",0.0409031234687251,0.61912730878391,0.0226195363559642,0.0616961154283797,0.149192924185924,0.106460991777098
