"","iNeuron","eNeuron","Olig","microglia","endo.mural","astrocytes"
"0",0.021311838,0.0414581,0.09167208,0.06326997,0.51403576,0.26825228
"1",0.12762685,0.12114443,0.26573294,0.09022468,0.18538755,0.20988356
"2",0.050644863,0.09248146,0.20259534,0.08704334,0.1537422,0.4134928
"3",0.13168113,0.18631884,0.27584934,0.10037396,0.1263067,0.17946999
"4",0.06762175,0.39112088,0.25942007,0.061370987,0.13679372,0.08367251
"5",0.11618378,0.24373922,0.29984388,0.077446826,0.14522892,0.117557354
"6",0.0669217,0.31205755,0.29600593,0.07476133,0.15029289,0.09996065
"7",0.065125294,0.2196122,0.33418977,0.0920454,0.17934546,0.10968184
"8",0.06273147,0.2509647,0.3692818,0.106090076,0.118531816,0.09240014
"9",0.13308471,0.28929752,0.31242862,0.058677528,0.123284586,0.083226986
"10",0.06989627,0.39075717,0.29366308,0.04800314,0.118306935,0.0793735
"11",0.07446097,0.36142308,0.2793055,0.06470777,0.12525107,0.09485156
"12",0.080006264,0.291671,0.34185362,0.0630021,0.13081834,0.092648566
"13",0.061330292,0.4643355,0.22363286,0.04152112,0.12066342,0.08851681
"14",0.059233557,0.25097066,0.3795695,0.09531161,0.12092357,0.09399113
"15",0.049523782,0.43690574,0.27146512,0.054906663,0.10471725,0.08248142
"16",0.06899102,0.33773485,0.28328106,0.06488639,0.1303327,0.11477405
"17",0.0674949,0.387077,0.27579233,0.06401565,0.11127033,0.09434985
"18",0.046833172,0.20260051,0.5366625,0.047001734,0.0935324,0.07336975
"19",0.05095964,0.38275722,0.24874051,0.06206449,0.159883,0.09559513
"20",0.072904274,0.35426897,0.26468515,0.06876254,0.14481777,0.09456132
"21",0.08217975,0.37494454,0.30635512,0.044131044,0.116552785,0.075836755
"22",0.07060069,0.37641904,0.31922486,0.049447484,0.11126731,0.07304063
"23",0.04964938,0.40075654,0.26030508,0.059709586,0.09666408,0.13291533
"24",0.07196022,0.3706349,0.27914754,0.06599178,0.10774843,0.10451726
"25",0.06832344,0.3713105,0.27973655,0.0635013,0.11501987,0.10210833
"26",0.05569484,0.41534403,0.26639247,0.05877918,0.10944728,0.0943421
"27",0.051278777,0.41211358,0.2681166,0.06125885,0.10944379,0.097788446
"28",0.04976274,0.20807093,0.4783877,0.06539263,0.11536777,0.08301816
"29",0.063118204,0.2779725,0.3056642,0.08486246,0.16999942,0.098383196
"30",0.060674973,0.34720656,0.26873323,0.06676328,0.16516973,0.09145225
"31",0.10566032,0.33998686,0.31379268,0.05866915,0.08883616,0.09305484
"32",0.08108004,0.3492696,0.27425727,0.06900947,0.12671027,0.099673375
"33",0.07439154,0.24797003,0.42197135,0.06273778,0.103798576,0.08913086
"34",0.071090646,0.34533468,0.311016,0.059704766,0.10852804,0.10432598
"35",0.10167954,0.36279202,0.310975,0.056767933,0.08616861,0.081616916
"36",0.06398479,0.40518373,0.29551938,0.059646923,0.09176922,0.08389591
"37",0.0646392,0.43378925,0.22520246,0.05161116,0.121700466,0.10305739
"38",0.100244455,0.26803127,0.36704406,0.06294428,0.105389416,0.09634656
"39",0.0901516,0.36963066,0.29256636,0.06526439,0.094237454,0.088149495
"40",0.06076024,0.17891282,0.519017,0.048249934,0.11038834,0.08267174
"41",0.08316516,0.34175587,0.27895108,0.0695219,0.119688936,0.10691708
"42",0.05986261,0.2492629,0.4907401,0.040805947,0.0929551,0.06637345
"43",0.17677513,0.24422622,0.32282358,0.06408059,0.09944966,0.09264484
"44",0.05851101,0.19542018,0.45852974,0.07266642,0.11798705,0.096885554
"45",0.04570627,0.25526494,0.48141918,0.042004667,0.08806428,0.08754058
"46",0.06172444,0.4995476,0.2064456,0.042534843,0.10049717,0.08925028
"47",0.07248866,0.36595815,0.30348924,0.060755033,0.103004314,0.09430452
"48",0.06615225,0.39058405,0.28473836,0.058912583,0.10755122,0.09206148
"49",0.066183545,0.41401014,0.27390128,0.057862643,0.09604727,0.09199521
"50",0.06580814,0.3798552,0.29192978,0.060255557,0.08278166,0.11936971
"51",0.055222057,0.19699697,0.5127691,0.053539313,0.10200913,0.079463415
"52",0.04043204,0.15443029,0.6187736,0.041189656,0.08178082,0.06339366
"53",0.075685844,0.2847621,0.42361835,0.039884765,0.102364935,0.073684074
"54",0.07253458,0.32854545,0.2851837,0.071093164,0.1268823,0.11576087
"55",0.06903259,0.2362289,0.45582518,0.050572623,0.105173774,0.08316699
"56",0.054966327,0.251794,0.35955638,0.07616241,0.1679466,0.08957422
"57",0.05790977,0.4360044,0.26789796,0.056966625,0.09580893,0.08541226
"58",0.07169875,0.33237544,0.387211,0.040956862,0.090236686,0.07752123
"59",0.06717881,0.27439713,0.39385277,0.0648136,0.105864525,0.0938932
"60",0.06599358,0.36820883,0.28096142,0.06546581,0.097609974,0.121760376
"61",0.058391005,0.44051188,0.25346458,0.05135605,0.11332808,0.082948335
"62",0.05545196,0.19469082,0.51370883,0.053212322,0.104284815,0.07865129
"63",0.0736561,0.32341045,0.28336397,0.0717514,0.13662365,0.11119449
"64",0.064762,0.3851567,0.28727865,0.060174115,0.09466396,0.10796448
"65",0.051710222,0.23689906,0.48826322,0.040289417,0.1166045,0.06623358
"66",0.07191129,0.20082016,0.5123412,0.05234536,0.09855898,0.06402297
"67",0.1153639,0.20590545,0.4857965,0.037005764,0.096618146,0.05931016
"68",0.023652405,0.040533535,0.14006853,0.05285351,0.13439287,0.60849917
"69",0.04229234,0.18051378,0.519819,0.03947966,0.101936385,0.11595885
"70",0.04926857,0.12131462,0.5802461,0.05312673,0.110571764,0.085472286
