"","iNeuron","eNeuron","Olig","microglia","endo.mural","astrocytes"
"0",0.033023212,0.06892776,0.08512177,0.06389763,0.5312323,0.2177973
"1",0.15044548,0.1935913,0.19916748,0.0842857,0.16314532,0.2093647
"2",0.13106431,0.19284996,0.19496487,0.08509318,0.14584917,0.25017852
"3",0.14159262,0.29932073,0.1965697,0.0750839,0.11805949,0.16937362
"4",0.12167948,0.41303357,0.18535048,0.06797648,0.10994693,0.102012955
"5",0.14492325,0.3353229,0.20235558,0.06783464,0.13098508,0.118578546
"6",0.069926426,0.35741663,0.31337216,0.045468904,0.117423795,0.096392095
"7",0.13149582,0.41987684,0.18935807,0.06064258,0.099661656,0.09896502
"8",0.0802695,0.42439163,0.33507076,0.034074817,0.0755043,0.050689023
"9",0.09160448,0.4773757,0.20485793,0.04888661,0.099627495,0.0776478
"10",0.086023614,0.55362684,0.16298258,0.043818727,0.08718029,0.066367954
"11",0.09133909,0.5288421,0.16966067,0.049243107,0.08801467,0.072900385
"12",0.062392768,0.29087713,0.46160612,0.039736316,0.08247727,0.062910475
"13",0.07197445,0.56719214,0.19996524,0.029627867,0.08155238,0.049687907
"14",0.09864061,0.5097397,0.20413104,0.0380934,0.08973033,0.059664864
"15",0.08058538,0.542855,0.16453844,0.048189633,0.09091266,0.07291885
"16",0.07994597,0.39023378,0.36048603,0.03388279,0.07854476,0.056906708
"17",0.068465896,0.3906607,0.2978885,0.054401293,0.10855791,0.08002571
"18",0.057097957,0.50559366,0.26057708,0.035303365,0.08176717,0.059660863
"19",0.067395754,0.57245076,0.15496862,0.042975653,0.09188002,0.07032922
"20",0.08593037,0.513457,0.16906084,0.051722802,0.10084584,0.07898313
"21",0.06926986,0.37828338,0.37871256,0.031085338,0.086539604,0.056109294
"22",0.071374804,0.57159615,0.15608542,0.045328055,0.081125505,0.07449003
"23",0.06499311,0.59129626,0.14941935,0.040927067,0.0784367,0.07492748
"24",0.09521429,0.5116668,0.16843069,0.0513663,0.088724315,0.08459768
"25",0.0969456,0.4939649,0.17403777,0.055395566,0.09489767,0.08475844
"26",0.07746929,0.5629416,0.16063513,0.044141088,0.08298251,0.07183034
"27",0.08556978,0.55240685,0.16017707,0.0449084,0.080713175,0.07622474
"28",0.11339342,0.3442485,0.3676428,0.033776943,0.08416698,0.056771312
"29",0.16274604,0.31053463,0.30350932,0.042275414,0.104416505,0.07651816
"30",0.09326426,0.42186412,0.26630998,0.036162123,0.10228387,0.08011557
"31",0.11517221,0.5138332,0.17196114,0.04561984,0.08010682,0.07330687
"32",0.11947608,0.50766015,0.18015648,0.04352465,0.07990132,0.069281325
"33",0.08729261,0.3352568,0.37197626,0.041598096,0.08865799,0.075218156
"34",0.108380236,0.4593281,0.23515318,0.040603325,0.08528841,0.0712468
"35",0.116326906,0.5394614,0.16687948,0.04088145,0.07005441,0.06639638
"36",0.09842992,0.51962054,0.1755923,0.048924178,0.083968304,0.0734648
"37",0.087540284,0.47533143,0.23516068,0.04534314,0.087216474,0.06940806
"38",0.10018691,0.520196,0.17260465,0.047930725,0.079501055,0.07958067
"39",0.12820294,0.5026846,0.17776027,0.044740446,0.07544859,0.0711632
"40",0.071916215,0.4125152,0.33249035,0.041985955,0.07649995,0.06459223
"41",0.074175246,0.35710242,0.25605035,0.058556776,0.15041018,0.103705026
"42",0.0865735,0.47328702,0.25148824,0.040590744,0.08012527,0.06793529
"43",0.13821386,0.45880073,0.18509617,0.05102596,0.085706115,0.0811572
"44",0.15360515,0.4433248,0.19495939,0.044284772,0.09268216,0.07114376
"45",0.09190923,0.52094287,0.19691156,0.037057623,0.09226979,0.06090886
"46",0.05926455,0.5149794,0.26778924,0.026519803,0.07221007,0.05923692
"47",0.060621545,0.49399528,0.24880296,0.033104792,0.08225619,0.08121919
"48",0.08499142,0.5558626,0.16731293,0.043824084,0.07812236,0.06988661
"49",0.08836847,0.5247507,0.17668758,0.048660565,0.081742674,0.07978998
"50",0.08294966,0.5477119,0.16798353,0.045322806,0.076121986,0.07990997
"51",0.10578867,0.35168308,0.3384012,0.045868184,0.08393672,0.07432216
"52",0.090619236,0.5109992,0.18166742,0.04827781,0.095079586,0.07335673
"53",0.08194437,0.4438945,0.29995975,0.03658112,0.07499896,0.06262141
"54",0.12525281,0.42182812,0.2405255,0.04597537,0.08833129,0.07808686
"55",0.10724273,0.41801196,0.2575886,0.050461166,0.09143796,0.0752576
"56",0.06336642,0.433948,0.308528,0.036624737,0.0950465,0.06248634
"57",0.07920954,0.5364367,0.18790089,0.044759918,0.0764826,0.07521034
"58",0.06576693,0.46211666,0.25978833,0.04341948,0.093373254,0.07553535
"59",0.20541503,0.24215078,0.33888805,0.04255841,0.096566364,0.07442133
"60",0.10631377,0.42257443,0.28850815,0.036746506,0.08050868,0.06534837
"61",0.08012856,0.45590493,0.24660346,0.04280066,0.09540212,0.07916031
"62",0.07965994,0.40528134,0.30235967,0.048405245,0.09053471,0.07375908
"63",0.040580034,0.45868453,0.32743624,0.037914857,0.07725011,0.058134228
"64",0.086557984,0.4198623,0.19182931,0.057666413,0.108113915,0.13597004
"65",0.08924671,0.3531739,0.2631768,0.062112726,0.11570715,0.116582684
"66",0.07092251,0.20786877,0.44995594,0.05218042,0.13602458,0.08304772
"67",0.07048954,0.22377399,0.39794225,0.05075544,0.15115158,0.10588733
"68",0.065630294,0.1698005,0.33426473,0.06441481,0.1404609,0.2254288
"69",0.08965645,0.21494037,0.3873755,0.049632624,0.11250659,0.14588848
"70",0.06378363,0.16856375,0.4974349,0.0578588,0.124067456,0.08829143
