"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"0",0,0.136232862970748,0,0,0.561975873710312,0.30179126331894
"1",0.306768191424344,0,0,0,0.22757181174412,0.465659996831536
"2",0,0.119048083545864,0,0.0627000199013121,0.142608391396872,0.675643505155952
"3",0.252362548881521,0.247946863507793,0,0.114415578454518,0,0.385275009156168
"7",0,0.947130814097175,0,0,0.0528691859028245,0
"8",0.189020017460994,0.62146034574481,0,0,0.0540652530983497,0.135454383695847
"9",0.12400564736443,0.776091064874166,0,0,0,0.0999032877614037
"10",0.154763940638577,0.768260453884856,0,0,0,0.0769756054765675
"14",0.108709484926681,0.891290515073319,0,0,0,0
"15",0.102226205932685,0.820040605224152,0,0,0,0.0777331888431637
"16",0,1,0,0,0,0
"17",0.0527860743450226,0.883405960986303,0,0,0,0.0638079646686742
"21",0,0.933487125046546,0,0,0,0.0665128749534538
"22",0,1,0,0,0,0
"23",0.0926452455480904,0.839424947360956,0,0,0,0.0679298070909539
"24",0,1,0,0,0,0
"28",0,0.852290199074638,0,0,0,0.147709800925362
"29",0.0727977836318583,0.834363640076425,0,0,0,0.0928385762917168
"30",0,0.927622254737475,0,0,0,0.0723777452625255
"31",0,0.793199258372026,0,0,0.133839279877694,0.0729614617502798
"35",0.0974293330986434,0.823506964966158,0,0,0.0790637019351989,0
"36",0,0.931800493062821,0,0,0,0.0681995069371787
"37",0,1,0,0,0,0
"38",0,0.825065787601725,0,0,0,0.174934212398275
"42",0.0779873456208251,0.814498456588127,0,0,0,0.107514197791048
"43",0.099405946293225,0.80885750371239,0,0,0,0.0917365499943849
"44",0,0.900955479190306,0,0,0,0.0990445208096941
"45",0,0.908727345698935,0,0,0,0.0912726543010652
"49",0.115182587943156,0.823751758335001,0,0,0,0.0610656537218423
"50",0.139717276960831,0.795585235703198,0,0,0,0.0646974873359712
"51",0.102952016835134,0.754322510917404,0,0,0.0643087782864224,0.0784166939610396
"52",0.111040535667082,0.798960451866228,0,0,0,0.0899990124666902
"56",0.0577952898794087,0.844356523712858,0,0,0,0.097848186407733
"57",0.0231597054948999,0.896838760489746,0,0,0,0.0800015340153545
"58",0,0.840548791053408,0,0,0,0.159451208946592
"59",0.0987297072961422,0.838547660737787,0,0,0,0.0627226319660712
"63",0.030415857206441,0.904658808907314,0,0,0,0.064925333886245
"64",0,0.917722616046748,0,0,0,0.0822773839532519
"65",0,0.895825151984842,0,0,0,0.104174848015158
"66",0.111329621293094,0.888670378706906,0,0,0,0
"70",0,0.882292116039104,0.117707883960896,0,0,0
"71",0,0.820755148774728,0,0,0.106949070301197,0.0722957809240758
"72",0,0.792991358096856,0.0968189337326692,0,0,0.110189708170475
"73",0.31600838204725,0.575043534249149,0,0,0,0.108948083703601
"77",0.0965330410453444,0.903466958954656,0,0,0,0
"78",0.0974515692110845,0.835109791372818,0,0,0.0674386394160969,0
"79",0,1,0,0,0,0
"80",0,0.910277835042258,0,0,0,0.0897221649577424
"81",0,1,0,0,0,0
"82",0.0129772777831463,0.898877390100927,0,0,0,0.0881453321159269
"83",0,0.838130551711291,0,0,0,0.161869448288709
"84",0.060459205880229,0.755754234395055,0.097772239236953,0,0,0.0860143204877633
"85",0.118901083870961,0.791605142822675,0,0,0,0.089493773306364
"86",0,0.910029736670535,0.0899702633294648,0,0,0
"87",0,0.891443506786205,0,0,0,0.108556493213795
"88",0.0988273942466463,0.816787189201311,0,0,0,0.0843854165520431
"89",0.212447159613636,0.641460053652366,0.146092786733999,0,0,0
"90",0,0.934679859067746,0,0,0,0.0653201409322538
"91",0,0.623663871841977,0.376336128158023,0,0,0
"92",0.0724753880545406,0.927524611945459,0,0,0,0
"93",0,0.865542641713011,0,0,0,0.134457358286989
"94",0.0913103786227658,0.690347030843772,0.0951136586765693,0,0.0541834269923517,0.069045504864541
"95",0,0.823989117456175,0.0966944247465972,0,0,0.0793164577972277
"96",0.0304518491435885,0.835210773787071,0,0,0.0629011844106776,0.0714361926586628
"97",0.0240320733011906,0.861759186502029,0,0,0,0.11420874019678
"101",0,0.667745554090005,0,0,0.178988606615276,0.153265839294719
"102",0,0.67019461511609,0.237609633406874,0,0,0.0921957514770363
"103",0,0.64532002923413,0.247338395620535,0,0,0.107341575145335
"104",0,0,0,0,0.158612221245823,0.841387778754177
"109",0,0,0.676400148661303,0,0,0.323599851338697
"110",0,0.111946468291906,0.888053531708094,0,0,0
