"","Olig","astrocytes","eNeuron","endo_mural","iNeuron","microglia"
"0",3.9880547e-07,0.34012026,2.2588204e-06,0.65521586,0.0046605445,6.112645e-07
"1",6.3501307e-07,0.3889147,3.6108631e-06,0.39353624,0.19045867,0.027086131
"2",2.8076033e-06,0.49388322,3.6818088e-05,0.22496296,0.030993877,0.25012022
"3",1.7529736e-07,0.389901,2.6855803e-06,0.1142489,0.35904223,0.13680495
"7",9.0564136e-08,1.5439032e-07,0.40024155,0.3968549,0.108521156,0.09438209
"8",0.00506652,0.21707477,0.10415096,0.23209453,0.25340715,0.18820612
"9",0.039255515,0.15179144,0.19932847,0.20398776,0.20236604,0.20327078
"10",1.4376974e-06,0.19702706,0.20219149,0.19608049,0.20545225,0.1992474
"14",0.018609004,0.18858829,0.19738236,0.19649738,0.20014857,0.19877447
"15",2.2123816e-06,0.13057905,0.22502214,0.20817828,0.22394167,0.2122766
"16",0.022759259,0.18838651,0.19796886,0.19549233,0.19781101,0.19758207
"17",1.1495762e-06,0.17756265,0.20649494,0.20649187,0.20642576,0.2030236
"21",2.5397392e-06,0.1868226,0.20655571,0.19834365,0.2039176,0.20435789
"22",0.025488231,0.1820494,0.20292962,0.1935552,0.19994333,0.19603424
"23",4.888106e-07,0.14947273,0.21383385,0.20707895,0.21664472,0.21296926
"24",5.2882342e-08,0.057322424,0.27172416,0.18008375,0.2451447,0.2457249
"28",8.8919853e-07,0.21529126,0.23874207,0.20924443,0.22567885,0.11104246
"29",1.8375869e-06,0.19139026,0.20666336,0.20027024,0.20344576,0.19822857
"30",0.05606421,0.1822977,0.19175543,0.18995874,0.19221431,0.18770963
"31",2.2072944e-08,0.097288504,0.41048923,0.4649408,0.027277486,3.931372e-06
"35",8.78966e-07,0.041784547,0.24585083,0.24059369,0.24091788,0.23085223
"36",0.009774062,0.19167015,0.20152739,0.2003516,0.19881542,0.1978614
"37",4.1909168e-08,0.13747092,0.2459821,0.19286516,0.23157522,0.1921066
"38",2.2720536e-07,0.25345567,0.24916415,0.11295381,0.23833261,0.14609347
"42",6.6116954e-08,0.20157309,0.27472538,0.14458117,0.27184495,0.107275285
"43",8.1288086e-08,0.18853101,0.22811429,0.15651464,0.22580945,0.2010305
"44",7.025513e-07,0.20271212,0.29318216,0.20725025,0.23366499,0.06318978
"45",2.8912188e-08,0.14794546,0.4916916,0.24538462,0.11497763,6.698611e-07
"49",4.687514e-08,0.10311529,0.2730969,0.10817258,0.28182116,0.23379405
"50",1.6531975e-07,0.10317127,0.23271976,0.1329075,0.28187567,0.24932565
"51",0.099123515,0.17031316,0.18710385,0.18302304,0.19581015,0.16462629
"52",4.3651617e-08,0.22189228,0.37800384,1.4254223e-07,0.40010288,8.2672096e-07
"56",3.2626562e-07,0.18818878,0.3122755,0.07730138,0.29664418,0.1255898
"57",0.041281115,0.10323334,0.24505536,0.13917209,0.24656807,0.22469002
"58",4.0623402e-07,0.2726413,0.26698706,0.014967944,0.2712532,0.17415018
"59",4.6062507e-08,0.0641311,0.41490173,1.3093985e-07,0.5209668,1.9920832e-07
"63",0.06117809,0.08501663,0.50109065,0.20586468,0.14684676,3.1255227e-06
"64",1.0143091e-05,0.19648589,0.20710362,0.19390714,0.20552208,0.19697103
"65",9.024481e-08,0.22807217,0.3341979,0.031663995,0.31240407,0.09366171
"66",4.5279947e-08,0.08449684,0.39514557,4.6919604e-07,0.4012904,0.11906669
"70",0.19020495,0.1334343,0.18267499,0.1437377,0.17553557,0.17441246
"71",1.4197384e-07,0.12408614,0.2702447,0.4839348,0.091384225,0.030349987
"72",0.17760581,0.1729045,0.17212328,0.15497041,0.16360232,0.15879372
"73",1.0593953e-06,0.17779115,0.0076406174,5.8227334e-07,0.6893402,0.12522641
"77",2.738891e-07,2.5259997e-06,0.3524537,0.23904008,0.33328116,0.075222336
"78",8.799955e-08,0.034520816,0.25827718,0.26313165,0.24329099,0.20077924
"79",7.3421404e-08,3.3095495e-07,0.3200324,0.13385554,0.31075668,0.23535499
"80",2.2333549e-07,0.3186684,0.40101728,0.08245827,0.14477609,0.053079683
"81",0.08513077,0.112769976,0.41177344,0.23083651,7.804436e-06,0.1594815
"82",5.1584575e-08,0.10193531,0.36209527,0.08528859,0.1768265,0.2738542
"83",2.7417178e-07,0.43235925,0.4625653,8.550591e-07,0.1050724,1.9098845e-06
"84",0.22998868,0.1830345,0.23798066,0.003901357,0.16364834,0.18144652
"85",0.006631318,0.21481065,0.2139674,0.21056317,0.22238134,0.13164616
"86",0.15763149,0.076303646,0.21756797,0.19346029,0.15547404,0.19956252
"87",0.024867399,0.20182383,0.19565906,0.19663867,0.18558624,0.19542484
"88",3.4190782e-07,0.20967962,0.2896156,0.120026186,0.2990265,0.081651725
"89",0.1867337,0.11920402,0.17647697,0.16895634,0.17765811,0.1709709
"90",0.030282585,0.10490932,0.6138897,8.235103e-07,0.10613214,0.14478537
"91",0.56295216,0.06656168,0.04045917,0.05383209,0.022696622,0.2534983
"92",0.07816182,3.6724174e-07,0.31462696,0.106309734,0.26222506,0.23867603
"93",2.7976778e-06,0.26806608,0.2538675,0.12176184,0.14492299,0.21137883
"94",0.0497519,0.18917593,0.18288437,0.20181449,0.16951898,0.20685433
"95",0.18337715,0.17178135,0.17557439,0.13889347,0.17561252,0.15476103
"96",8.8876e-07,0.09906766,0.2554684,0.26990882,0.13982764,0.23572662
"97",1.6973299e-07,0.38697577,0.33483845,0.013007991,0.21695533,0.048222262
"101",0.057861764,0.29747862,0.03548266,0.3448689,0.103482366,0.16082564
"102",0.17912306,0.16877764,0.15801471,0.1645691,0.16322793,0.16628762
"103",0.2013677,0.18944716,0.12803663,0.17846435,0.11941179,0.18327227
"104",0.014536835,0.8082984,7.242396e-06,0.17713894,1.0887627e-05,7.692697e-06
"109",0.54007936,0.28966516,2.8385996e-06,0.03141843,0.08216453,0.05666957
"110",0.6412897,0.040182732,0.00011053117,0.000115771894,0.071907334,0.24639392
